id,timestamp,direction,src_ip,dst_ip,src_port,dst_port,protocol,src_mac,dst_mac,iface,packet_len,ip_ttl,ip_tos,tcp_flags,dns_qname,dns_answer_ip,tls_sni,ndpi_master_proto,ndpi_app_proto,ndpi_category,dst_geo_country,dst_geo_city,decision_action,decision_rule_id
7037,2025-12-07T15:07:43.263223,outbound,10.20.0.110,142.250.130.207,39294,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1648,64,,,,,storage.googleapis.com,TLS,GoogleServices,Web,US,,allow,
7038,2025-12-07T15:07:43.266840,inbound,142.250.130.207,10.20.0.110,443,39294,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,123,,,,,,TLS,Google,Web,,,allow,
7039,2025-12-07T15:07:44.065881,outbound,10.20.0.110,10.20.0.1,54043,53,udp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,68,64,,,,,,Unknown,DNS,Network,,,allow,
7040,2025-12-07T15:07:44.069978,outbound,10.20.0.1,10.20.0.110,53,54043,udp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,132,64,,,,,,Unknown,DNS,Network,,,allow,
7041,2025-12-07T15:07:44.074260,outbound,10.20.0.110,151.101.0.223,50422,443,tcp,bc:24:11:18:89:6b,bc:24:11:e4:6f:c6,,1634,64,,,,,pypi.org,Unknown,TLS,Web,US,,allow,
7042,2025-12-07T15:07:44.078343,inbound,151.101.0.223,10.20.0.110,443,50422,tcp,bc:24:11:e4:6f:c6,bc:24:11:18:89:6b,,1304,59,64,,,,,Unknown,TLS,Web,,,allow,
7043,2025-12-07T15:07:45.034417,outbound,10.20.0.164,10.20.0.1,57123,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,99,64,,,,,,Unknown,DNS,Network,,,allow,
7044,2025-12-07T15:07:45.038569,outbound,10.20.0.1,10.20.0.164,53,57123,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,157,64,,,,,,Unknown,DNS,Network,,,allow,
7045,2025-12-07T15:07:45.042325,outbound,10.20.0.164,10.20.0.1,36055,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,96,64,,,,,,Unknown,DNS,Network,,,allow,
7046,2025-12-07T15:07:45.074731,outbound,10.20.0.1,10.20.0.164,53,36055,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,168,64,,,,,,Unknown,DNS,Network,,,allow,
7047,2025-12-07T15:07:45.077094,outbound,10.20.0.164,10.20.0.1,47681,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,76,64,,,,,,Unknown,DNS,Network,,,allow,
7048,2025-12-07T15:07:45.079151,outbound,10.20.0.1,10.20.0.164,53,47681,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,104,64,,,,,,Unknown,DNS,Network,,,allow,
7049,2025-12-07T15:07:45.081586,outbound,10.20.0.164,151.101.2.132,58532,443,tcp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,1642,64,,,,,httpd.apache.org,Unknown,TLS,Web,US,,allow,
7050,2025-12-07T15:07:45.084858,inbound,151.101.2.132,10.20.0.164,443,58532,tcp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,1304,59,64,,,,,Unknown,TLS,Web,,,allow,
7051,2025-12-07T15:07:45.981397,outbound,10.20.0.164,10.20.0.1,47131,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7052,2025-12-07T15:07:45.986045,outbound,10.20.0.1,10.20.0.164,53,47131,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,167,64,,,,,,Unknown,DNS,Network,,,allow,
7053,2025-12-07T15:07:45.990931,outbound,10.20.0.164,52.6.181.49,60324,443,tcp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,1637,64,,,,,httpbin.org,TLS,AmazonAWS,Cloud,US,Ashburn,allow,
7054,2025-12-07T15:07:45.995381,inbound,52.6.181.49,10.20.0.164,443,60324,tcp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,1304,244,,,,,,TLS,AmazonAWS,Cloud,,,allow,
7055,2025-12-07T15:07:45.999842,outbound,10.20.0.164,10.20.0.1,34769,53,udp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,71,64,,,,,,Unknown,DNS,Network,,,allow,
7056,2025-12-07T15:07:46.003627,outbound,10.20.0.1,10.20.0.164,53,34769,udp,bc:24:11:e4:6f:c6,bc:24:11:b2:03:8e,,167,64,,,,,,Unknown,DNS,Network,,,allow,
7057,2025-12-07T15:07:46.007277,outbound,10.20.0.164,3.219.87.227,42098,443,tcp,bc:24:11:b2:03:8e,bc:24:11:e4:6f:c6,,1637,64,,,,,httpbin.org,Unknown,TLS,Web,US,Ashburn,allow,
